path|las_count
/elevation/LIDAR/County_Monroe_2017|745
/elevation/LIDAR/NYC_2021|1740
/elevation/LIDAR/Ontario_2019|869
/elevation/LIDAR/FEMA_2019/Herkimer|300
/elevation/LIDAR/FEMA_2019/Fulton|249
/elevation/LIDAR/FEMA_2019/Chemung|490
/elevation/LIDAR/FEMA_2019/Cortland|630
/elevation/LIDAR/FEMA_2019/Broome|871
/elevation/LIDAR/FEMA_2019/Albany|713
/elevation/LIDAR/FEMA_2019/Greene|818
/elevation/LIDAR/FEMA_2019/Chenango|943
/elevation/LIDAR/FEMA_2019/Delaware|1812
/elevation/LIDAR/FEMA_2019/Hamilton|2081
/elevation/LIDAR/FEMA_2019/Madison|113
/elevation/LIDAR/FEMA_2019/Montgomery|198
/elevation/LIDAR/FEMA_2019/Lewis|1148
/elevation/LIDAR/FEMA_2019/Monroe|913
/elevation/LIDAR/FEMA_2019/Otsego|404
/elevation/LIDAR/FEMA_2019/Putnam|364
/elevation/LIDAR/FEMA_2019/Niagara|739
/elevation/LIDAR/FEMA_2019/Ontario|870
/elevation/LIDAR/FEMA_2019/Onondaga|811
/elevation/LIDAR/FEMA_2019/Oneida|1242
/elevation/LIDAR/FEMA_2019/Schuyler|162
/elevation/LIDAR/FEMA_2019/Yates|129
/elevation/LIDAR/FEMA_2019/Schenectady|271
/elevation/LIDAR/FEMA_2019/Tioga|696
/elevation/LIDAR/FEMA_2019/Westchester|649
/elevation/LIDAR/FEMA_2019/Steuben|881
/elevation/LIDAR/FEMA_2019/Sullivan|1290
